,PR@1,PR@2,PR@3,PR@4,PR@5,PR@avg,Acc
MonitorRank,0.0,0.05,0.03333333333333333,0.05,0.075,0.041666666666666664,0.4462121212121213
CloudRanger,0.0,0.0,0.0,0.025,0.05,0.015000000000000003,0.43863636363636366
DyCause+linear,0.2,0.25,0.3666666666666667,0.4,0.475,0.33833333333333326,0.49469696969696975
DyCause+prla,0.3,0.3,0.4666666666666666,0.55,0.7,0.4633333333333332,0.7409090909090909
DyCause+BPMF,0.4,0.4,0.36666666666666675,0.325,0.325,0.36333333333333334,0.3484848484848485
MicroCI4:1,0.4,0.3,0.4,0.4,0.525,0.40499999999999997,0.8015151515151517
MicroCI3:1,0.4,0.4,0.4666666666666666,0.45,0.575,0.4583333333333333,0.8136363636363637
MicroCI2:1,0.5,0.45,0.5333333333333333,0.55,0.7,0.5466666666666666,0.8295454545454545
MicroCI1:1,0.4,0.45,0.5999999999999999,0.65,0.75,0.57,0.8386363636363636
MicroCI1:2,0.3,0.45,0.5999999999999999,0.675,0.75,0.5549999999999999,0.8401515151515152
MicroCI1:3,0.3,0.45,0.5999999999999999,0.675,0.75,0.5549999999999999,0.8401515151515152
