,PR@1,PR@2,PR@3,PR@4,PR@5,PR@avg,Acc
MonitorRank,0.4,0.35,0.3,0.35,0.5,0.38,0.8613636363636363
CloudRanger,0.5,0.35,0.33333333333333337,0.35,0.525,0.4116666666666666,0.8568181818181818
DyCause+linear,0.2,0.2,0.36666666666666664,0.4,0.475,0.32833333333333325,0.47272727272727266
DyCause+prla,0.0,0.25,0.4,0.475,0.625,0.35,0.6833333333333332
DyCause+BPMF,0.4,0.4,0.39999999999999997,0.375,0.45,0.4049999999999999,0.44772727272727275
MicroCI4:1,0.3,0.4,0.4,0.325,0.4,0.365,0.7454545454545455
MicroCI3:1,0.2,0.4,0.4666666666666667,0.4,0.525,0.3983333333333333,0.7598484848484849
MicroCI2:1,0.2,0.4,0.5,0.525,0.625,0.45,0.7727272727272727
MicroCI1:1,0.2,0.4,0.5333333333333333,0.55,0.7,0.4766666666666667,0.781060606060606
MicroCI1:2,0.2,0.4,0.5333333333333333,0.55,0.7,0.4766666666666667,0.781060606060606
MicroCI1:3,0.2,0.4,0.5333333333333333,0.55,0.7,0.4766666666666667,0.781060606060606
