,PR@1,PR@2,PR@3,PR@4,PR@5,PR@avg,Acc
MonitorRank,1.0,0.75,0.6666666666666666,0.625,0.625,0.7333333333333333,0.9696969696969697
DyCause+linear,0.5,0.5,0.5,0.5,0.5,0.49999999999999994,0.5
DyCause+prla,0.0,0.25,0.5,0.625,0.75,0.425,0.8598484848484849
DyCause+BPMF,0.5,0.5,0.3333333333333333,0.25,0.25,0.36666666666666664,0.25
MicroCI4:1,0.0,0.25,0.3333333333333333,0.375,0.5,0.29166666666666663,0.928030303030303
MicroCI3:1,0.0,0.25,0.5,0.375,0.625,0.35,0.9507575757575758
MicroCI2:1,0.0,0.25,0.5,0.5,0.625,0.375,0.9621212121212122
MicroCI1:1,0.0,0.25,0.5,0.5,0.625,0.375,0.9696969696969697
MicroCI1:2,0.0,0.25,0.5,0.5,0.625,0.375,0.9696969696969697
MicroCI1:3,0.0,0.25,0.5,0.625,0.625,0.4,0.9734848484848485
