,PR@1,PR@2,PR@3,PR@4,PR@5,PR@avg,Acc
MonitorRank,0.45,0.35,0.35000000000000003,0.3375,0.4125,0.38,0.7314393939393938
CloudRanger,0.35,0.275,0.29999999999999993,0.3375,0.4,0.33249999999999996,0.7030303030303029
DyCause+linear,0.1,0.175,0.2,0.2125,0.275,0.19249999999999998,0.36893939393939396
DyCause+prla,0.05,0.175,0.2833333333333333,0.325,0.3625,0.23916666666666667,0.46818181818181814
DyCause+BPMF,0.2,0.275,0.2166666666666667,0.175,0.2,0.21333333333333332,0.2825757575757576
MicroCI4:1,0.1,0.125,0.14999999999999997,0.1625,0.25,0.1575,0.49621212121212127
MicroCI3:1,0.1,0.125,0.15,0.1875,0.2625,0.16499999999999998,0.5068181818181818
MicroCI2:1,0.1,0.175,0.2,0.2375,0.3125,0.205,0.5193181818181819
MicroCI1:1,0.1,0.25,0.2666666666666666,0.3,0.375,0.25833333333333336,0.5329545454545455
MicroCI1:2,0.2,0.3,0.28333333333333327,0.325,0.4125,0.30416666666666664,0.5409090909090908
MicroCI1:3,0.2,0.325,0.28333333333333327,0.325,0.4125,0.30916666666666653,0.5424242424242425
