,PR@1,PR@2,PR@3,PR@4,PR@5,PR@avg,Acc
0,1.0,0.5,0.3333333333333333,0.25,0.5,0.5166666666666666,0.9090909090909092
1,1.0,0.5,0.3333333333333333,0.5,0.75,0.6166666666666666,0.9318181818181819
2,0.0,0.0,0.3333333333333333,0.5,0.5,0.26666666666666666,0.5
3,0.0,0.0,0.3333333333333333,0.5,0.5,0.26666666666666666,0.5
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.0,0.5,0.3333333333333333,0.25,0.25,0.4666666666666666,0.696969696969697
6,1.0,0.5,0.3333333333333333,0.25,0.25,0.4666666666666666,0.7121212121212122
7,1.0,0.5,0.3333333333333333,0.25,0.25,0.4666666666666666,0.7121212121212122
8,1.0,0.5,0.3333333333333333,0.5,0.75,0.6166666666666666,0.7424242424242424
9,1.0,0.5,0.3333333333333333,0.5,0.75,0.6166666666666666,0.7424242424242424
10,1.0,0.5,0.3333333333333333,0.5,0.75,0.6166666666666666,0.7424242424242424
