,PR@1,PR@2,PR@3,PR@4,PR@5,PR@avg,Acc
MonitorRank,0.6,0.4,0.3666666666666667,0.325,0.425,0.42333333333333323,0.8022727272727274
CloudRanger,0.5,0.4,0.3666666666666667,0.35,0.45,0.4133333333333333,0.8
DyCause+linear,0.0,0.1,0.26666666666666666,0.325,0.325,0.2033333333333333,0.3484848484848485
DyCause+prla,0.2,0.3,0.4666666666666666,0.525,0.6,0.4183333333333333,0.6424242424242423
DyCause+BPMF,0.6,0.45,0.3666666666666667,0.275,0.3,0.3983333333333333,0.32045454545454544
MicroCI4:1,0.2,0.15,0.2333333333333333,0.225,0.35,0.23166666666666663,0.8431818181818184
MicroCI3:1,0.2,0.2,0.26666666666666666,0.325,0.4,0.2783333333333333,0.8689393939393939
MicroCI2:1,0.3,0.35,0.4,0.4,0.525,0.39499999999999996,0.8886363636363637
MicroCI1:1,0.4,0.4,0.5,0.575,0.75,0.5249999999999999,0.9037878787878789
MicroCI1:2,0.4,0.4,0.4666666666666666,0.575,0.775,0.5233333333333332,0.9068181818181819
MicroCI1:3,0.4,0.4,0.4666666666666666,0.575,0.775,0.5233333333333332,0.9075757575757575
