,PR@1,PR@2,PR@3,PR@4,PR@5,PR@avg,Acc
MonitorRank,0.45454545454545453,0.3181818181818182,0.3333333333333333,0.38636363636363635,0.5,0.39848484848484844,0.7362258953168045
CloudRanger,0.45454545454545453,0.2727272727272727,0.33333333333333337,0.38636363636363635,0.5,0.3893939393939394,0.7376033057851241
DyCause+linear,0.18181818181818182,0.36363636363636365,0.42424242424242425,0.3409090909090909,0.4318181818181818,0.3484848484848484,0.5495867768595042
DyCause+prla,0.36363636363636365,0.4090909090909091,0.5151515151515151,0.5227272727272727,0.5909090909090909,0.4803030303030303,0.7307162534435261
DyCause+BPMF,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.3409090909090909,0.3409090909090909,0.35454545454545455,0.38292011019283745
MicroCI4:1,0.18181818181818182,0.3181818181818182,0.303030303030303,0.3181818181818182,0.36363636363636365,0.29696969696969694,0.6349862258953168
MicroCI3:1,0.18181818181818182,0.3181818181818182,0.33333333333333326,0.3181818181818182,0.36363636363636365,0.303030303030303,0.637741046831956
MicroCI2:1,0.18181818181818182,0.36363636363636365,0.3939393939393939,0.4090909090909091,0.4772727272727273,0.36515151515151517,0.6515151515151515
MicroCI1:1,0.18181818181818182,0.4090909090909091,0.5151515151515151,0.45454545454545453,0.5227272727272727,0.41666666666666663,0.6611570247933884
MicroCI1:2,0.18181818181818182,0.4090909090909091,0.5454545454545454,0.45454545454545453,0.5454545454545454,0.4272727272727273,0.665289256198347
MicroCI1:3,0.18181818181818182,0.4090909090909091,0.5454545454545454,0.45454545454545453,0.5227272727272727,0.4227272727272728,0.6666666666666665
