,PR@1,PR@2,PR@3,PR@4,PR@5,PR@avg,Acc
0,0.0,0.0,0.0,0.25,0.25,0.1,0.8560606060606061
1,0.0,0.0,0.3333333333333333,0.25,0.25,0.16666666666666666,0.9015151515151515
2,0.0,0.5,0.3333333333333333,0.25,0.25,0.26666666666666666,0.25
3,0.0,0.5,0.6666666666666666,0.5,0.5,0.4333333333333333,0.5
4,1.0,0.5,0.3333333333333333,0.25,0.25,0.4666666666666666,0.25
5,1.0,0.5,0.3333333333333333,0.25,0.25,0.4666666666666666,0.25
6,1.0,0.5,0.3333333333333333,0.25,0.25,0.4666666666666666,0.25
7,0.0,0.5,0.3333333333333333,0.25,0.25,0.26666666666666666,0.25
8,0.0,0.5,0.3333333333333333,0.25,0.25,0.26666666666666666,0.25
9,0.0,0.5,0.3333333333333333,0.25,0.25,0.26666666666666666,0.25
10,0.0,0.0,0.3333333333333333,0.25,0.25,0.16666666666666666,0.25
