,PR@1,PR@2,PR@3,PR@4,PR@5,PR@avg,Acc
MonitorRank,0.0,0.0,0.0,0.25,0.25,0.1,0.8560606060606061
CloudRanger,0.0,0.0,0.3333333333333333,0.25,0.25,0.16666666666666666,0.9015151515151515
DyCause+linear,0.0,0.5,0.3333333333333333,0.25,0.25,0.26666666666666666,0.25
DyCause+prla,0.0,0.5,0.6666666666666666,0.5,0.5,0.4333333333333333,0.5
DyCause+BPMF,1.0,0.5,0.3333333333333333,0.25,0.25,0.4666666666666666,0.25
MicroCI4:1,1.0,0.5,0.3333333333333333,0.25,0.25,0.4666666666666666,0.25
MicroCI3:1,1.0,0.5,0.3333333333333333,0.25,0.25,0.4666666666666666,0.25
MicroCI2:1,0.0,0.5,0.3333333333333333,0.25,0.25,0.26666666666666666,0.25
MicroCI1:1,0.0,0.5,0.3333333333333333,0.25,0.25,0.26666666666666666,0.25
MicroCI1:2,0.0,0.5,0.3333333333333333,0.25,0.25,0.26666666666666666,0.25
MicroCI1:3,0.0,0.0,0.3333333333333333,0.25,0.25,0.16666666666666666,0.25
