,PR@1,PR@2,PR@3,PR@4,PR@5,PR@avg,Acc
0,1.0,0.5,0.3333333333333333,0.25,0.5,0.5166666666666666,0.9545454545454546
1,1.0,0.5,0.3333333333333333,0.25,0.5,0.5166666666666666,0.9545454545454546
2,0.0,0.0,0.0,0.25,0.25,0.1,0.25
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.5,0.6666666666666666,0.5,0.5,0.4333333333333333,0.5
5,0.0,0.0,0.0,0.0,0.0,0.0,0.6060606060606061
6,0.0,0.0,0.0,0.0,0.0,0.0,0.6515151515151516
7,0.0,0.0,0.0,0.0,0.25,0.05,0.6742424242424243
8,0.0,0.5,0.3333333333333333,0.5,0.5,0.36666666666666664,0.7272727272727273
9,1.0,1.0,0.6666666666666666,0.75,0.75,0.8333333333333333,0.75
10,1.0,1.0,0.6666666666666666,0.75,0.75,0.8333333333333333,0.75
